Adam Cremonensis	<Adamo da Cremona>	De regimine et via itineris et fine peregrinantium
Adamnanus Hyensis	<Adamnanus Hiiensis, Adamnano di Iona>	De locis sanctis
Aegidius Li Muisis	<Aegidius Mucidus, Gilles Le Muiset, Gilles Li Muisis>	Itinerarium expeditionis Romam
Aeneas Silvius Piccolomini	<Pius secundus, Pio II, Enea Silvio Piccolomini>	Cosmographia
Aeneas Silvius Piccolomini	<Pius secundus, Pio II, Enea Silvio Piccolomini>	De Asia
Aeneas Silvius Piccolomini	<Pius secundus, Pio II, Enea Silvio Piccolomini>	De Europa
Aeneas Silvius Piccolomini	<Pius secundus, Pio II, Enea Silvio Piccolomini>	De ritu, situ, moribus et conditione Germaniae descriptio
Aethicus Istricus	<Aethicus Ister, Aethicus Philosophus, Etico Istro>	Cosmographia
Agostinus Patricius Piccolomineus	<Agostino Patrizi Piccolomini>	De legatione Germanica Francisci Piccolhominei cardinalis Senensis
Aimericus Picaudus	<Aimery Picaus>	Iter pro peregrinis ad Compostellam
Albertus Aquensis	<Alberto di Aquisgrana>	Historia Hierosolymitanae expeditionis 
Albertus Stadensis	<Alberto di Stade>	Annales Stadenses
Albertus de Bonstetten	<Albrecht von Bonstetten>	Superioris Germaniae confoederationis descriptio
Alexander Ariostus	<Alessandro Ariosto>	Itinerarium ad Montem Sinai
Alexander Ariostus	<Alessandro Ariosto>	Topographia terrae promissionis
Alexander Geraldinus	<Alessandro Geraldini>	Itinerarium ad regiones sub aequinoctiali plaga constitutas
Amadeus Boverius	<Amadeus Boverii fratre>	Libellus peregrinationis totius Terrae Sanctae
Ambrosius Traversarius	<Ambrogio Traversari>	Hodoeporicon
Andreas Perusinus	<Cambaliensis episcopus, Andreas de Perusio, Andrea da Perugia>	Epistola
Angelus Politianus	<Angelo Ambrogini, Angelo Poliziano>	Odoeporicon
Anglicus Grimoaldi	<Anglic de Grimoard>	Descriptio Romandiole
Anglicus Grimoaldi	<Anglic de Grimoard>	Descriptio civitatis Bononie
Anonimus Einsildensis	<Anonimo di Einsildensis>	Itinerarium Einsidlense
Anonymus Leidensis	<Anonimo di Leida>	De situ orbis
Anonymus Mediolanensis	<Anonimo Milanese>	Libellus de situ civitatis Mediolani
Anonymus Ravennas	<Geographus Ravennas, Geografo Ravennate, Anonimo Ravennate>	Cosmographia
Anonymus Suessionensis	<Anonimo di Soissons>	De terra Hierosolimitana
Anonymus alemannus	<Anonimo Alemanno>	Haec sunt loca que habentur iuxta Hierosolimam commemoratione digna
Anselmus Adurnus	<Anselmo Adorno>	Itinerarium Terrae Sanctae
Anselmus Remensis	<Anselmo Remense, Anselmo di Reims>	Historia dedicationis ecclesiae sancti Remigii apud Remos
Antonius Galatheus	<Antonio De Ferrariis Galateo>	De Hierosolymitana peregrinatione
Antonius Galatheus	<Antonio De Ferrariis Galateo>	De situ Iapygiae
Antonius Galatheus	<Antonio De Ferrariis Galateo>	De situ elementorum
Antonius Galatheus	<Antonio De Ferrariis Galateo>	De situ terrarum
Antonius Galatheus	<Antonio De Ferrariis Galateo>	Descriptio urbis Callipolis
Antonius Gallus	<Antonio Gallo>	Commentarii rerum Genuensium 
Antonius Gallus	<Antonio Gallo>	Commentarius de Genuensium maritima classe in Barchinonenses expedita
Antonius Gallus	<Antonio Gallo>	De navigatione Columbi per inaccessum antea Oceanum comentariolum
Antonius Hyvanus Sarzanensis	<Antonio Ivani da Sarzana>	De situ urbis Romae
Antonius de Reboldis	<Antonius de Cremona, Antonio da Cremona, Antonio de’ Reboldi>	Itinerarium ad Montem Sinai
Antonius de Reboldis	<Antonius de Cremona, Antonio da Cremona, Antonio de’ Reboldi>	Itinerarium ad Sepulcrum Domini
Augustinus Nettuccius	<Agostino Nettucci, Agostino Vespucci>	De situ totius Hispaniae
Balcus	<Balco>	Descriptio Helvetiae
Baldericus Burgulianus	<Baldericus Dolensis, Baldericus Andegavensis, Baldericus Burguliensis, Baudri de Bourgueil>	Epistola ad Fiscannenses (Itinerarium sive Relatio de monasterio Fiscannensi)
Bartholomaeus Anglicus	<Bartolomeo Anglico>	De proprietatibus rerum
Bartholomaeus Montagnana	<Bartholomaeus de Montagnana, Bartolomeo Montagnana>	De balneis patavinis
Bartholomaeus Moronus	<Bartolomeo Morone>	Dissertatio de Lecto Padi, a Ticino usque ad Urbem Mantuam
Bartholomeus de Baygueris	<Bartolomeo Bayguera>	Itinerarium
Beda Venerabilis	<Beda il Venerabile>	De locis sanctis
Beda Venerabilis	<Beda il Venerabile>	Nomina regionum atque locorum de Actibus apostolorum
Belardus de Esculo	<Belardo d'Ascoli>	Descriptio Terrae Sanctae
Benedictus Cochorella 	<Benedetto Cocorella>	Opus Tremitanum
Benedictus Polonus	<Benedykt Polak, Benedetto Polacco>	De itinere fratrum minorum ad Tartaros
Beniaminus Tudelensis	<Beniamino di Tudela>	Itinerarium
Bentius Alexandrinus	<Bentius Alexandrinus cancellarius>	Chronicon
Bernardus Bembus	<Bernardo Bembo>	Descriptio sui itineris
Bernardus Guidonis	<Bernardo Gui, Bernardo Guidoni>	Descriptio Galliarum
Bernardus Oricellarius	<Bernardo Rucellai>	De urbe Roma liber
Bernardus de Breydenbach	<Bernhard von Breydenbach>	Peregrinatio in Terram Sanctam
Bernardus monachus	<Bernardus Francus, Bernardus Savius, Bernardo il Saggio, Bernardo il Monaco>	Itinerarium in loca sancta
Blondus Flavius	<Biondo Flavio >	Italia illustrata
Blondus Flavius	<Biondo Flavio >	Roma instaurata
Bonaventura de Castello	<Bonaventura Castelli>	Recepta aquae balnei de Porrecta
Bonvicinus de Ripa	<Bonvesin de la Riva>	De magnalibus urbis Mediolani
Boschinus de Angleria	<Boschino d'Anghiera>	De situ et salubritate aeris civitatis Mediolani
Burchardus Argentinensis	<Burchard von Strassburg, Burcardo di Strasburgo>	Relatio de itinere in Terram Sanctam
Burchardus de Monte Sion	<Burchardus Theutonicus, Burcardo del Monte Sion>	Descriptio Terrae Sanctae
Christophorus Bondelmontius	<Cristoforo Buondelmonti, Cristoforo de' Buondelmonti, Cristoforo dei Buondelmonti, Cristoforo Bondelmonti, Cristophoro Buondelmonti, Cristoforo Bondelmonti>	Descriptio insule Crete
Christophorus Bondelmontius	<Cristoforo Buondelmonti, Cristoforo de' Buondelmonti, Cristoforo dei Buondelmonti, Cristoforo Bondelmonti, Cristophoro Buondelmonti, Cristoforo Bondelmonti>	Liber insularum archipelagi
Christophorus Columbus	<Cristoforo Colombo>	Epistola de insulis nuper inventis
Conradus Bitschin	<Konrad Bitschin>	Petri de Dusburg Chronici terrae Prussiae continuatio
Conradus Celtis	<Conrad Celtes>	De origine, situ, moribus et institutis Norimbergae libellus
